Qualification présentée;Code Etablissement;Libellé Etablissement;Commune Etablissement;Division de classe;Catégorie candidat;Numéro Candidat;Date de naissance;Résultat;LP001 - 1 - Histoire - Géographie - Contrôle continu (livret);LP002 - 1 - Enseignement moral et civique - Contrôle continu (livret);LP003 - 1 - Langue vivante A - Anglais - Contrôle continu (livret);LP003 - 1 - Langue vivante A - Arabe - Contrôle continu (livret);LP003 - 1 - Langue vivante A - Espagnol - Contrôle continu (livret);LP004 - 1 - Langue vivante B - Anglais - Contrôle continu (livret);LP004 - 1 - Langue vivante B - Arabe - Contrôle continu (livret);LP004 - 1 - Langue vivante B - Espagnol - Contrôle continu (livret);LP005 - 1 - Enseignement scientifique - Contrôle continu (livret);LP007 - 1 - Enseignement scientifique (incluant mathématiques spécifiques en 1ère) - Contrôle continu (livret);LP012 - 1 - Histoire-géographie, géopolitique et sciences politiques - Contrôle continu (livret);LP014 - 1 - Mathématiques - Contrôle continu (livret);LP015 - 1 - Numérique et sciences informatiques - Contrôle continu (livret);LP016 - 1 - Physique-Chimie - Contrôle continu (livret);LP017 - 1 - Sciences de la vie et de la terre - Contrôle continu (livret);LP018 - 1 - Sciences de l'ingénieur - Contrôle continu (livret);LP019 - 1 - Sciences économiques et sociales - Contrôle continu (livret);LP020 - 1 - Langues, littératures et cultures étrangères et régionales - Anglais, monde contemporain - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Anglais - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Arabe - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Art - Théâtre - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Education physique et sportive - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Espagnol - Contrôle continu (livret);T001 - 1 - Français écrit - Ponctuel;T002 - 1 - Français oral - Ponctuel;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;139;03/08/2007;;15,00;14,70;;17,70;;16,10;;;12,00;;;14,50;;10,00;14,00;;;;;;;;16,90;9,00;15,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;140;19/07/2007;;14,70;16,70;;17,70;;19,00;;;14,70;;;16,30;13,80;14,80;;;;;;;;;18,40;15,00;15,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;141;03/12/2007;;15,30;16,90;;16,20;;15,30;;;10,20;;;12,40;;;12,50;;11,30;;;;;;16,70;10,00;19,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;142;07/11/2007;;16,90;17,00;18,10;;;;;18,00;12,70;;;12,70;;12,00;15,60;;;;;;;17,30;;10,00;16,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;143;09/07/2007;;18,40;18,40;18,70;;;;;18,90;17,30;;;17,60;;16,10;18,10;;;;;18,10;;;;17,00;20,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;144;14/12/2005;;12,30;14,50;;13,80;;10,80;;;9,60;;;8,30;;;10,10;;9,20;;;;;;;10,00;12,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;145;05/01/2007;;16,80;16,90;;17,20;;19,40;;;14,50;;;16,50;;15,90;15,90;;;;;;;;;11,00;20,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;146;10/07/2007;;15,50;17,30;20,00;;;;17,70;;10,30;;17,30;15,40;;;;;16,30;;;;;;16,90;14,00;18,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;147;29/04/2007;;15,90;14,50;17,80;;;;17,60;;10,20;;;12,40;;11,50;13,60;;;;;;;16,50;;10,00;17,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;148;15/05/2007;;18,60;17,00;20,00;;;;;17,00;16,90;;;16,70;;14,70;;;16,20;;;;;;;8,00;18,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrF;SCOLAIRE;149;06/10/2007;;17,80;18,40;13,60;;;;;17,80;11,90;;;13,00;;9,80;13,20;;;;;;;;;12,00;17,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;150;29/05/2007;;9,90;16,20;16,80;;;;17,70;;13,60;;;11,80;10,80;9,90;;;;;;;;17,00;;13,00;20,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;151;23/07/2007;;8,30;16,40;9,80;;;;;13,70;13,60;;;11,80;;10,70;;;13,50;;;;;;;9,00;12,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;152;15/03/2007;;13,30;16,40;;18,10;;17,70;;;17,40;;16,90;15,70;;;;;16,30;;;;;;17,80;12,00;14,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;153;25/09/2007;;5,50;16,40;11,80;;;;;15,80;;11,80;13,00;;;;;;7,50;9,40;;;;;;9,00;11,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;154;27/03/2008;;12,80;18,00;;19,10;;17,30;;;17,60;;;15,10;;12,10;;;16,00;;;;19,00;;;9,00;13,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;155;31/03/2007;;13,10;20,00;14,90;;;;13,90;;13,80;;;11,70;;12,00;;;15,80;;;;;;;8,00;18,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;156;24/10/2007;;10,20;17,40;;16,80;;15,40;;;15,80;;;11,80;;9,80;14,60;;;;;;;19,00;;9,00;18,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;157;02/03/2007;;3,40;15,50;;17,00;;14,90;;;;11,40;12,60;;;;;;10,30;9,70;;;;;;6,00;13,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;158;20/01/2007;;8,70;17,50;16,80;;;;;16,90;14,00;;;6,70;;7,70;13,40;;;;;;;;;9,00;19,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;159;12/05/2007;;16,40;19,40;16,90;;;;;16,60;18,60;;;15,20;;15,50;16,40;;;;;;;;;18,00;19,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;160;16/09/2007;;10,60;20,00;;15,60;;11,50;;;13,80;;;10,50;;10,60;12,90;;;;;;;;17,30;10,00;14,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;161;22/03/2007;;10,90;18,00;15,70;;;;14,80;;13,50;;13,80;12,60;;;;;12,80;;;;;;;AB;AB;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;162;21/02/2007;;6,90;15,20;9,90;;;;;14,00;;12,00;12,70;;6,90;;;;9,90;;;;;15,00;;8,00;8,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;163;28/02/2007;;4,70;16,00;15,50;;;;;15,20;;12,10;11,60;;;;11,00;;;13,40;;;;;;8,00;8,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;164;20/01/2007;;10,30;19,00;;;16,90;18,20;;;13,50;;;7,80;;8,40;11,50;;;;;15,80;;;;12,00;17,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;165;07/11/2007;;9,10;17,40;16,60;;;;15,60;;12,30;;;10,70;;8,90;;;11,70;;;;;;16,20;12,00;15,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;166;05/09/2007;;10,40;17,40;19,30;;;;16,00;;;13,90;15,20;;;;;;13,10;17,00;;;;;16,00;11,00;17,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;167;06/08/2007;;8,60;16,00;15,10;;;;;17,00;17,70;;;10,00;10,50;;;;13,50;;;;;;;11,00;15,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;168;12/03/2007;;9,30;20,00;15,20;;;;14,60;;;9,80;12,40;;;;;;11,90;13,90;;;;;14,30;13,00;17,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;169;12/05/2007;;7,20;17,40;13,90;;;;13,50;;11,20;;;9,30;;;;;11,10;13,10;;;;18,00;;8,00;7,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;170;29/03/2007;;9,70;17,40;;;18,80;19,30;;;;10,20;14,50;;;;;;10,30;16,20;;;;;;9,00;10,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;171;07/04/2007;;13,30;17,50;17,80;;;;16,70;;11,50;;;9,60;;;10,10;;13,90;;;;;;16,50;15,00;13,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;172;01/10/2007;;12,00;18,50;17,20;;;;;17,70;17,80;;;11,50;11,10;12,30;;;;;;;;;;10,00;6,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrG;SCOLAIRE;173;24/08/2007;;15,60;19,00;17,30;;;;;16,90;16,40;;18,00;11,70;;;;;16,20;;;;;;;15,00;17,00;
